id,mbti,resource_title,url,media_type,language,issue_tags,trigger_keywords,recommendation_policy,source_file,source_paragraph_index,notes
INFJ_c2e5104f01,INFJ,للشخصيات الحساسة فقط: توقف عن كونك إسفنجة عاطفية الآن !,https://www.youtube.com/watch?v=84Cx4ehU0uU,video,ar,"['emotional_absorption', 'emotional_awareness']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,19,
INFJ_63cfdfa1a2,INFJ,كيف تنجح العلاقات مع ياسر الحزيمي | بودكاست فنجان,https://www.youtube.com/watch?v=pJ0auP7dbcY&t=2s,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,20,
INFJ_1f30e7ecd8,INFJ,من الحبُ إلى النضج العاطفي” – بودكاست جلسة | م. عزة الغامدي,https://www.youtube.com/watch?v=EswT5U5_L-k,video,ar,['emotional_awareness'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,21,
INFJ_ce3f1b2671,INFJ,https://www.youtube.com/watch?v=LKHMbh_Nfqs&list=PLLIdqKBo7F-oSmk0aP3Np1h2fSVsx1mvk&pp=0gcJCbkEOCosWNin,https://www.youtube.com/watch?v=LKHMbh_Nfqs&list=PLLIdqKBo7F-oSmk0aP3Np1h2fSVsx1mvk&pp=0gcJCbkEOCosWNin,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,23,
INFJ_acd809216a,INFJ,(3) الحلقة 12 - النفس الحاضرة تواجه - نفوس - مصطفى حسني - EPS 12 - Nefoos - Mustafa Hosny - YouTube,https://www.youtube.com/watch?v=6PHuROuHikA,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,25,
INFJ_b749492b68,INFJ,EMOTIONAL BURNOUT - 6 recovery strategies that work / how to cope when you are emotionally exhausted,https://www.youtube.com/watch?v=59QEXiGo1Ik,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,27,
INFJ_aef44e5495,INFJ,How to Deal with Burnout,https://www.youtube.com/watch?v=YyjBKqsJqAo,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,28,
INFJ_3c9692d407,INFJ,The “Let Them Theory”: A Life Changing Mindset Hack That 15 Million People Can’t Stop Talking About,https://open.spotify.com/show/7vz4RYsD5MulTCrcH478t1,podcast,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,29,
INFJ_5ec8598b60,INFJ,https://open.spotify.com/episode/6Z2wR3WNIHlhJDELXNYcTi?si=347e3eaae512487d,https://open.spotify.com/episode/6Z2wR3WNIHlhJDELXNYcTi?si=347e3eaae512487d,podcast,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,30,
INFJ_963e24b791,INFJ,AI built for school | Speed up work and raise grades with Grammarly,https://www.youtube.com/watch?v=83JE0jHAvBY,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,31,
INFJ_c506e344c0,INFJ,هل تعاني من القلق | بودكاست فنجان,https://youtu.be/gtUoblGRmmc?si=YokXZsH_zZ9YTTqm,video,ar,"['emotional_awareness', 'change_fear']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,36,
INFJ_cb63adeeee,INFJ,كيف تحقق أهدافك - شرح كامل لكتاب الاثنى عشر أسبوع - دوباميكافين,https://youtu.be/4Ai5WEOHzgs?si=XBab5dNudeDkhfLm,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,38,
INFJ_835557522f,INFJ,Perfectionism المثالية عدو الانتاجية,https://youtu.be/QFJnI23QcB0?si=1zcP2CAnXgXJ175q,video,ar,['perfectionism'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,41,
INFJ_9e12307a90,INFJ,ازاي اتخلص من كبت المشاعر ؟ مع د. هبة يس | افيدونا بودكاست,https://youtu.be/7fbn6Zb_uTY?si=SHWKBKwdI5tZRaQw,video,ar,"['emotional_suppression', 'conflict_avoidance_expression']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,45,
INFJ_9ebb69ff06,INFJ,مشاعرنا هي السبب وليس الموقف السيء - السماح بالرحيل - الجزء الأول - دوباميكافين,https://youtu.be/-WhdFfl3g_A?si=2hjHrmYWeI1Zh4iw,video,ar,['emotional_suppression'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,47,
INFJ_f25aa4805f,INFJ,5 Steps to Control Your Feelings - YouTube,https://www.youtube.com/watch?v=Nib-rtLUuvE,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,49,
INFP_c0ed396e3a,INFP,Four Horsemen of the Apocalypse | The Gottman Institute: Relationship Behaviors that Lead to Failure,https://youtu.be/1o30Ps-_8is?si=pLLnMzeWCdb-vWxM,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,69,
